,,,,,,,,PreTaxMargin,Float,Pre Tax Margin(%)
,,,,,,,,PATM,Float,PATM(%)
,,,,,,,,CPM,Float,CPM(%)
2,Performance Ratios,http://jwttoken.cmots.com/Aidea/api/PerformanceRatios/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,ROA,Float,ROA(%)
,,,,,,,,ROE,Float,ROE(%)
3,Efficiency Ratios,http://jwttoken.cmots.com/Aidea/api/EfficiencyRatios/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,FixedCapitals_Sales,Float,Fixed Capitals/Sales(x)
,,,,,,,,ReceivableDays,Float,Receivable days
,,,,,,,,InventoryDays,Float,Inventory days
,,,,,,,,PayableDays,Float,Payable days
4,Financial Stability Ratios,http://jwttoken.cmots.com/Aidea/api/FinancialStabilityRatios/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,TotalDebt_Equity,Float,Total Debt/Equity(x)
,,,,,,,,CurrentRatio,Float,Current Ratio(x)
,,,,,,,,QuickRatio,Float,Quick Ratio(x)
,,,,,,,,InterestCover,Float,Interest cover(x)
,,,,,,,,TotalDebt_MCap,Float,Total Debt/MCap(x)
5,Valuation Ratios,http://jwttoken.cmots.com/Aidea/api/ValuationRatios/476/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,PE,Float,P/E(x)
,,,,,,,,Price_BookValue,Float,Price/Book Value(x)
,,,,,,,,DividendYield,Float,Dividend Yield(%)
,,,,,,,,EV_EBITDA,Float,EV/EBITDA(x)
,,,,,,,,Mcap_Sales,Float,Mcap/Sales
6,Cash Flow Ratios,http://jwttoken.cmots.com/Aidea/api/CashFlowRatios/6/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,Int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,CashFlowPerShare,Float,Cash Flow Per Share
,,,,,,,,PricetoCashFlowRatio,Float,Price to Cash Flow Ratio
,,,,,,,,FreeCashFlowperShare,Float,Free Cash Flow per Share
,,,,,,,,PricetoFreeCashFlow,Float,Price to Free Cash Flow
,,,,,,,,FreeCashFlowYield,Float,Free Cash Flow Yield
,,,,,,,,Salestocashflowratio,Float,Sales to cash flow ratio's
7,Growth Ratio,http://jwttoken.cmots.com/Aidea/api/GrowthRatio/6/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
,,,,,,,,YRC,int,Year Count
,,,,,,,,co_code,Int,CMOTS Company code
,,,,,,,,NetSalesGrowth,float,NetSalesGrowth
,,,,,,,,EBITDAGrowth,float,EBITDAGrowth
,,,,,,,,EBITGrowth,float,EBITGrowth
,,,,,,,,PATGrowth,float,PATGrowth
,,,,,,,,EPS,float,EPS
8,Liquidity Ratios,http://jwttoken.cmots.com/Aidea/api/LiquidityRatios/6/S,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,,,
