"Token","ShortName","Series","CompanyName","ticksize","Lotsize","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","Symbol","InstrumentType","PermittedToTrade","IssueCapital","WarningPercent","FreezePercent","CreditRating","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","BoardLotQty","Name","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","ExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MFill","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","EGM","AGM","Interest","Bonus","Rights","Dividends","LocalUpdateDateTime","DeleteFlag","Remarks","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotlMarketEligibility","SpotMarketEligibility","AuctionlMarketEligibility","MarginPercentage","ExchangeCode"
"18910","GUJNPP","EQ","GUJARAT NRE COKE LTD PREFERENC",0.01,1,"","",0,10,"IN9110D01011",2.85,0.9,68,0.9,"","","",0,0,0,1,0.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GUJNREDVR"
"18921","VARBEV","EQ","VARUN BEVERAGES LIMITED",0.01,1,"","",0,2,"INE200M01039",681.12,419.55,681.12,20.15,"","","",0,0,0,593.6,485.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VBL"
"18931","SUNMUL","EQ","SUNDARAM MULTI PAP LIMITED",0.01,1,"","",0,1,"INE108E01023",3.95,1.92,24.9,1,"","","",0,0,0,2.38,1.59,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUNDARAM"
"18941","RAIPAP","BE","RAINBOW PAPERS LTD",0.01,1,"","",0,2,"INE028D01025",0,0,94.4,0.1,"","","",0,0,0,0.16,0.14,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RAINBOWPAP"
"18944","HYDSS","EQ","KINGFA SCIENCE & TECH (I) LTD",0.01,1,"","",0,10,"INE473D01015",3954,1672,3954,11.97,"","","",0,0,0,3539.15,2359.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KINGFA"
"18957","RELRE1","BE","RELIANCE INDUS RIGHTS ENTITLE",0.01,1,"","",0,10,"INE002A20018",258.3,152,258.3,152,"","","",0,0,0,310.8,133.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RIL-RE"
"18962","RAJWIR","EQ","RAJRATAN GLOBAL WIRE LTD",0.01,1,"","",0,2,"INE451D01029",694.2,291.1,1409.9,33.2,"","","",0,0,0,351.7,234.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RAJRATAN"
"18967","KAPFAC","EQ","KAPSTON SERVICES LIMITED",0.01,1,"","",0,5,"INE542Z01028",319,117.05,319,32.19,"","","",0,0,0,266.28,177.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KAPSTON"
"18972","SGBT39","GB","2.50% SOV. GOLD BOND 19 MAY 28",0.01,1,"","",0,1000,"IN0020200088",0,0,8857.47,4225.25,"","","",0,0,0,9573.41,7832.79,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBMAY28"
"18973","619E34","GS","6.19% G-SEC. 16 SEP 34",0.01,1,"","",0,100,"IN0020200096",0,0,102.91,87.5,"","","",0,0,0,101.2,91.57,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","619GS2034"
"18976","522F25","GS","5.22% G-SEC. 15 JUN 25",0.01,1,"","",0,100,"IN0020200112",0,0,106,90.05,"","","",0,0,0,106.03,95.94,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","522GS2025"
"18979","UNIVIN","BE","UNIVASTU INDIA LIMITED",0.01,1,"","",0,10,"INE562X01013",345.35,137.1,345.35,19.25,"","","",0,0,0,223.3,202.03,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UNIVASTU"
"18992","PIODIS","EQ","PIONEER DISTILLERIES LIMITED",0.01,1,"","",0,10,"INE889E01010",224.5,142.6,408.95,25.6,"","","",0,0,0,216.65,144.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PIONDIST"
"19","STYABS","EQ","STYRENIX PERFOM. MATERIALS LTD",0.01,1,"","",0,10,"INE189B01011",3095.65,1420,3095.65,19.9,"","","",0,0,0,3276,2184,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","STYRENIX"
"19005","DUDRE1","ST","DUDIGITAL GLOBAL LTD RE",0.01,1,"","",0,2,"INE0HPK20012",0,0,29,18,"","","",0,0,0,26.25,11.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DUDIG-RE"
"1901","CUMIND","EQ","CUMMINS INDIA LTD",0.01,1,"","",0,2,"INE298A01020",4171.9,2636.75,4171.9,31.43,"","","",0,0,0,3357,2746.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CUMMINSIND"
"19011","MASCOM","SM","MASTER COMPONENTS LIMITED",0.01,1,"","",0,10,"INE0OJM01017",380,130,380,130,"","","",0,0,0,300.3,271.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MASTER"
"19015","MANVAI","EQ","MANOJ VAIBHAV GEMS JEW LTD",0.01,1,"","",0,10,"INE0KNT01012",330.9,180.9,382,165,"","","",0,0,0,237.1,158.07,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MVGJL"
"19020","JSWINF","EQ","JSW INFRASTRUCTURE LIMITED",0.01,1,"","",0,2,"INE880J01026",360.95,218.2,360.95,142.2,"","","",0,0,0,351.75,287.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JSWINFRA"
"19025","KIROIL","EQ","KIRLOSKAR INDUSTRIES LTD",0.01,1,"","",0,10,"INE250A01039",6698.9,3029.55,6698.9,2.21,"","","",0,0,0,3745.1,2496.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KIRLOSIND"
"19031","SAMCEM","EQ","SAMRUDDHI CEMENT LIMITED",0.01,1,"","",0,5,"INE676K01018",0,0,590,442,"","","",0,0,0,625.05,416.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SAMRUDDHI"
