ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
,,,,,,,,ho_tel1,varchar(50),Head Office Telephone1
,,,,,,,,ho_tel2,Int,Head  Office Telephone2
,,,,,,,,ho_fax1,Int,Head Office Fax1
,,,,,,,,ho_fax2,Int,Head Office Fax2
,,,,,,,,ho_email,varchar(50),Head Office Email
,,,,,,,,ho_ctry_name,varchar(50),Head Office Country Name
,,,,,,,,co_code2,Float,Company Code 2
,,,,,,,,co_add1,Float,Company Address 1
,,,,,,,,co_add2,Float,Company Address 2
,,,,,,,,co_add3,Float,Company Address 3
,,,,,,,,co_city,Float,Company City
,,,,,,,,co_stcode,Float,Company State Code
,,,,,,,,co_statename,Float,Company State Name
,,,,,,,,co_pin,Float,Company Pin Code
,,,,,,,,co_tel1,Float,Company Telephone 1
,,,,,,,,co_tel2,Float,Company Telephone 2
,,,,,,,,co_fax1,Float,Company Fax 1
,,,,,,,,co_fax2,Float,Company Fax 2
,,,,,,,,co_email,Float,Company Email
,,,,,,,,co_ctry_name,Float,Company Country Name
,,,,,,,,co_code3,Int,Company Code 3
,,,,,,,,rcode,varchar(50),Registrar Code
,,,,,,,,reg_name,varchar(100),Regsitrar Name 
,,,,,,,,reg_add1,varchar(100),Registrar Address 1
,,,,,,,,reg_add2,varchar(100),Registrar Address 2
,,,,,,,,reg_add3,varchar(100),Registrar Address 3
,,,,,,,,reg_add4,varchar(100),Registrar Address 4
,,,,,,,,reg_tel,varchar(100),Registrar Telephone
,,,,,,,,reg_fax,varchar(100),Registrar Fax
,,,,,,,,reg_email,varchar(100),Registrar Email                
,,,,,,,,reg_internet,varchar(100),Registrar Internet
,,,,,,,,flag,varchar(100),Flag
2,CompBackground,http://jwttoken.cmots.com/Aidea/api/CompBackground/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,isin,varchar(50),ISIN
,,,,,,,,hse_s_name,varchar(50),HSE_S_NAME
,,,,,,,,inc_dt,varchar(50),INC_DT
,,,,,,,,regadd1,varchar(100),Registrar Address 1
,,,,,,,,regadd2,varchar(50),Registrar Address 2
,,,,,,,,regdist,varchar(100),Registrar District
,,,,,,,,regstate,varchar(50),Registrar State
