ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
,,,,,,,,Y202209,Float,Year 2022 September
,,,,,,,,Y202203,Float,Year 2022 March
,,,,,,,,rowno,Int,Row No
12,Result Balance Sheet (Asset and Liabilities): Half yearly,http://jwttoken.cmots.com/Aidea/api/Results-BalanceSheet-Half-yearly/476/S,EOD,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Output,OutputDataType,OutputDescription
,,,,,,,,RID,Int,RID
,,,,,,,,COLUMNNAME,Varchar(300),Column Name
,,,,,,,,Y202409,Float,Year 2024 September
,,,,,,,,Y202403,Float,Year 2024 March
,,,,,,,,Y202309,Float,Year 2023 September
,,,,,,,,Y202303,Float,Year 2023 March
,,,,,,,,Y202209,Float,Year 2022 September
,,,,,,,,Y202203,Float,Year 2022 March
,,,,,,,,rowno,Int,Row No
13,Result Balance Sheet (Asset and Liabilities): Yearly,http://jwttoken.cmots.com/Aidea/api/Results-BalanceSheet-Yearly/6/S,EOD,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,Output,OutputDataType,OutputDescription
,,,,,,,,RID,Int,RID
,,,,,,,,COLUMNNAME,Varchar(300),Column Name
,,,,,,,,Y202403,Float,Year 2024 March
,,,,,,,,Y202303,Float,Year 2023 March
,,,,,,,,Y202112,Float,Year 2021 December
,,,,,,,,rowno,Int,Row No
