ReportIndex,Report Name,API URL,Notes,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
16,Management Biodata,http://jwttoken.cmots.com/Aidea/api/Biodata/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,memo,ntext,memo,,,
17,Auditor’s Report,http://jwttoken.cmots.com/Aidea/api/AuditorsReports/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,symbol,varchar(100),symbol,,,
,,,,,,,,memo,ntext,MEMO,,,auditor_report
,,,,,,,,yr,int,Year,TRUE,TRUE,
18,Notes to Account,http://jwttoken.cmots.com/Aidea/api/NotesToAccount/476/2024,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,,,
,,,,,,,,lname,varchar(100),LNAME,,,
,,,,,,,,memo,ntext,MEMO,,,notes_to_account
,,,,,,,,year,Int,year,TRUE,TRUE,
19,Finished Products,http://jwttoken.cmots.com/Aidea/api/FinishedProducts/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,TRUE,TRUE,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,prname,Varchar (100),Product Name,TRUE,TRUE,product_name
,,,,,,,,uom,Varchar (100),UOM,TRUE,TRUE,unit_of_measurement
,,,,,,,,per_sale,float,Per Sale,,,percentage_sale
,,,,,,,,inst,float,Inst,,,
,,,,,,,,prodn,float,Prodn,,,production
,,,,,,,,saleqty,float,Sale Quantity,,,sale_quantity
,,,,,,,,saleval,float,Sale Value,,,sale_value
,,,,,,,,symbol,Varchar (100),symbol,,,
20,Raw Material,http://jwttoken.cmots.com/Aidea/api/RawMaterials/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,,,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,prname,Varchar (100),Product Name,TRUE,TRUE,product_name
,,,,,,,,uom,Varchar (100),UOM,TRUE,TRUE,unit_of_measurement
,,,,,,,,qty,float,Quantity,,,quantity
,,,,,,,,value,float,Value,,,value
,,,,,,,,year,int,Year,TRUE,TRUE,
,,,,,,,,symbol,Varchar (100),symbol,TRUE,TRUE,
21,Related Party Transaction,http://jwttoken.cmots.com/Aidea/api/Related_Party_Transaction/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,slno,int,SLNO,TRUE,TRUE,
,,,,,,,,nat_trans,varchar(50),NAT TRANS,TRUE,TRUE,
,,,,,,,,assoc,float,ASSOC,,,associate
,,,,,,,,subsi,float,SUBSI,,,subsidiary
,,,,,,,,kmp,float,KMP,,,kmp
,,,,,,,,rkmp,float,RKMP,,,rkmp
,,,,,,,,jv,float,JV,,,joint_venture
,,,,,,,,ind,float,IND,,,independent
,,,,,,,,oth,float,OTH,,,others
,,,,,,,,hc,float,HC,,,
,,,,,,,,type,varchar(50),TYPE,TRUE,TRUE,type
,,,,,,,,subtype,varchar(50),SUBT YPE,TRUE,TRUE,sub_type
,,,,,,,,total,float,TOTAL,,,total
,,,,,,,,class,varchar(50),CLASS,TRUE,TRUE,
,,,,,,,,flag,varchar(20),FLAG,TRUE,TRUE,
22,Subsidiaries_JVs_Collaborations,http://jwttoken.cmots.com/Aidea/api/Subsidiaries_JVs_Collaborations/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(50),LNAME,,,long_name
,,,,,,,,coll_name,varchar(50),COLL_NAME,TRUE,TRUE,collaborator_name
,,,,,,,,coll_ctry,varchar(50),COLL_CTRY,TRUE,TRUE,collaborator_ctry
,,,,,,,,coll_country,varchar(50),PERC_SH,TRUE,TRUE,collaborator_country
,,,,,,,,PERC_SH,float,PERC_SH,TRUE,TRUE,
23,Deferred Tax,http://jwttoken.cmots.com/Aidea/api/Deferred_Tax/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS company code,TRUE,TRUE,
,,,,,,,,yrc,Int,Year,TRUE,TRUE,
,,,,,,,,aseg1,varchar(50),ASEG1,,,
,,,,,,,,aval1,int,AVAL1,,,
,,,,,,,,aseg2,varchar(50),ASEG2,,,
,,,,,,,,aval2,int,AVAL2,,,
,,,,,,,,aseg3,varchar(50),ASEG3,,,
,,,,,,,,aval3,int,AVAL3,,,
,,,,,,,,aseg4,varchar(50),ASEG4,,,
,,,,,,,,aval4,int,AVAL4,,,
,,,,,,,,aseg5,varchar(50),ASEG5,,,
,,,,,,,,aval5,int,AVAL5,,,
,,,,,,,,aseg6,varchar(50),ASEG6,,,
,,,,,,,,aval6,int,AVAL6,,,
,,,,,,,,aseg7,varchar(50),ASEG7,,,
,,,,,,,,aval7,int,AVAL7,,,
,,,,,,,,aseg8,varchar(50),ASEG8,,,
,,,,,,,,aval8,int,AVAL8,,,
,,,,,,,,aseg9,varchar(50),ASEG9,,,
,,,,,,,,aval9,int,AVAL9,,,
,,,,,,,,aseg10,varchar(50),ASEG10,,,
,,,,,,,,aval10,int,AVAL10,,,
,,,,,,,,aseg11,varchar(50),ASEG11,,,
,,,,,,,,aval11,int,AVAL11,,,
,,,,,,,,aseg12,varchar(50),ASEG12,,,
,,,,,,,,aval12,int,AVAL12,,,
,,,,,,,,aseg13,varchar(50),ASEG13,,,
,,,,,,,,aval13,int,AVAL13,,,
,,,,,,,,aseg14,varchar(50),ASEG14,,,
,,,,,,,,aval14,int,AVAL14,,,
,,,,,,,,aseg15,varchar(50),ASEG15,,,
,,,,,,,,aval15,int,AVAL15,,,
,,,,,,,,aseg16,varchar(50),ASEG16,,,
,,,,,,,,aval16,int,AVAL16,,,
,,,,,,,,aseg17,varchar(50),ASEG17,,,
,,,,,,,,aval17,int,AVAL17,,,
,,,,,,,,aseg18,varchar(50),ASEG18,,,
,,,,,,,,aval18,int,AVAL18,,,
,,,,,,,,aseg19,varchar(50),ASEG19,,,
,,,,,,,,aval19,int,AVAL19,,,
,,,,,,,,aseg20,varchar(50),ASEG20,,,
,,,,,,,,aval20,int,AVAL20,,,
,,,,,,,,lseg1,varchar(50),LSEG1,,,
,,,,,,,,lval1,int,LVAL1,,,
,,,,,,,,lseg2,varchar(50),LSEG2,,,
,,,,,,,,lval2,int,LVAL2,,,
,,,,,,,,lseg3,varchar(50),LSEG3,,,
,,,,,,,,lval3,int,LVAL3,,,
,,,,,,,,lseg4,varchar(50),LSEG4,,,
,,,,,,,,lval4,int,LVAL4,,,
,,,,,,,,lseg5,varchar(50),LSEG5,,,
,,,,,,,,lval5,int,LVAL5,,,
,,,,,,,,lseg6,varchar(50),LSEG6,,,
,,,,,,,,lval6,int,LVAL6,,,
,,,,,,,,lseg7,varchar(50),LSEG7,,,
,,,,,,,,lval7,int,LVAL7,,,
,,,,,,,,lseg8,varchar(50),LSEG8,,,
,,,,,,,,lval8,int,LVAL8,,,
,,,,,,,,lseg9,varchar(50),LSEG9,,,
,,,,,,,,lval9,int,LVAL9,,,
,,,,,,,,lseg10,varchar(50),LSEG10,,,
,,,,,,,,lval10,int,LVAL10,,,
,,,,,,,,lseg11,varchar(50),LSEG11,,,
,,,,,,,,lval11,int,LVAL11,,,
,,,,,,,,lseg12,varchar(50),LSEG12,,,
,,,,,,,,lval12,int,LVAL12,,,
,,,,,,,,lseg13,varchar(50),LSEG13,,,
,,,,,,,,lval13,int,LVAL13,,,
,,,,,,,,lseg14,varchar(50),LSEG14,,,
,,,,,,,,lval14,int,LVAL14,,,
,,,,,,,,lseg15,varchar(50),LSEG15,,,
,,,,,,,,lval15,int,LVAL15,,,
,,,,,,,,lseg16,varchar(50),LSEG16,,,
,,,,,,,,lval16,int,LVAL16,,,
,,,,,,,,lseg17,varchar(50),LSEG17,,,
,,,,,,,,lval17,int,LVAL17,,,
,,,,,,,,lseg18,varchar(50),LSEG18,,,
,,,,,,,,lval18,int,LVAL18,,,
,,,,,,,,lseg19,varchar(50),LSEG19,,,
,,,,,,,,lval19,int,LVAL19,,,
,,,,,,,,lseg20,varchar(50),LSEG20,,,
,,,,,,,,lval20,int,LVAL20,,,
,,,,,,,,atotal,int,ATOTAL,,,
,,,,,,,,ltotal,int,LTOTAL,,,
,,,,,,,,year,int,YEAR,TRUE,TRUE,
,,,,,,,,flag,Varchar(50),FLAG,TRUE,TRUE,
24,R_and_D,http://jwttoken.cmots.com/Aidea/api/R_and_D/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS company code,TRUE,TRUE,
,,,,,,,,yrc,int,Year Count,TRUE,TRUE,
,,,,,,,,capital,float,Capital,,,
,,,,,,,,recurring,float,Recurring,,,
,,,,,,,,percentage,float,Percentage,,,
,,,,,,,,year,float,Year,TRUE,TRUE,
,,,,,,,,flag,varchar,Flag,TRUE,TRUE,
25,Chronological History,http://jwttoken.cmots.com/Aidea/api/ChronologicalHistory/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,,,
,,,,,,,,yrc,int,year,TRUE,TRUE,
,,,,,,,,eqtyason,varchar(50),Equity as on,TRUE,TRUE,
,,,,,,,,eqty,float,Equity,,,
,,,,,,,,remarks,varchar(500),Remark,,,
26,Company History,http://jwttoken.cmots.com/Aidea/api/CompanyHistory/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,,,
,,,,,,,,memo,ntext,company history description - Memo,,,
